Date,Health_District,Age_Group,Cases,Hospitalized,Deaths,State
2020-07-12,Lenowisco,50-59,17,5,0,Virginia
2020-07-12,Chesapeake,70-79,78,29,3,Virginia
2020-07-12,Western Tidewater,80+,150,26,33,Virginia
2020-07-12,Thomas Jefferson,10-19,89,1,0,Virginia
2020-07-12,Richmond,40-49,400,29,3,Virginia
2020-07-12,Lord Fairfax,50-59,361,27,2,Virginia
2020-07-12,Lord Fairfax,10-19,156,1,0,Virginia
2020-07-12,Rappahannock Rapidan,10-19,137,3,0,Virginia
2020-07-12,Crater,50-59,302,33,3,Virginia
2020-07-12,Arlington,Missing,11,1,0,Virginia
2020-07-12,Roanoke,50-59,54,1,0,Virginia
2020-07-12,Rappahannock,10-19,251,3,0,Virginia
2020-07-12,Roanoke,10-19,63,0,0,Virginia
2020-07-12,Eastern Shore,Missing,6,0,0,Virginia
2020-07-12,Mount Rogers,Missing,1,0,0,Virginia
2020-07-12,Prince William,60-69,800,166,42,Virginia
2020-07-12,Alleghany,70-79,59,7,7,Virginia
2020-07-12,Crater,20-29,262,7,0,Virginia
2020-07-12,Loudoun,60-69,260,50,6,Virginia
2020-07-12,Fairfax,0-9,506,18,0,Virginia
2020-07-12,Roanoke,Missing,4,0,0,Virginia
2020-07-12,Alexandria,20-29,398,10,1,Virginia
2020-07-12,Portsmouth,70-79,36,12,5,Virginia
2020-07-12,Alleghany,30-39,83,2,0,Virginia
2020-07-12,Prince William,20-29,1745,54,0,Virginia
2020-07-12,Southside,70-79,63,10,13,Virginia
2020-07-12,Piedmont,Missing,1,0,0,Virginia
2020-07-12,Rappahannock,0-9,117,2,0,Virginia
2020-07-12,Henrico,30-39,502,18,0,Virginia
2020-07-12,Prince William,10-19,827,8,0,Virginia
2020-07-12,Chickahominy,10-19,51,0,0,Virginia
2020-07-12,Lord Fairfax,0-9,66,2,0,Virginia
2020-07-12,Central Virginia,Missing,1,0,0,Virginia
2020-07-12,Fairfax,60-69,1465,318,63,Virginia
2020-07-12,Hampton,20-29,122,2,0,Virginia
2020-07-12,Central Shenandoah,40-49,379,14,0,Virginia
2020-07-12,Pittsylvania-Danville,0-9,11,0,0,Virginia
2020-07-12,Crater,30-39,297,7,0,Virginia
2020-07-12,Virginia Beach,70-79,101,27,7,Virginia
2020-07-12,Virginia Beach,30-39,370,13,0,Virginia
2020-07-12,Piedmont,0-9,23,0,0,Virginia
2020-07-12,Central Shenandoah,30-39,349,7,0,Virginia
2020-07-12,Hampton,50-59,69,9,1,Virginia
2020-07-12,Peninsula,70-79,102,38,12,Virginia
2020-07-12,Arlington,20-29,479,22,0,Virginia
2020-07-12,West Piedmont,70-79,31,12,4,Virginia
2020-07-12,Richmond,20-29,525,16,0,Virginia
2020-07-12,Roanoke,0-9,17,0,0,Virginia
2020-07-12,Hampton,30-39,101,3,0,Virginia
2020-07-12,Thomas Jefferson,30-39,245,8,0,Virginia
2020-07-12,Western Tidewater,40-49,132,6,2,Virginia
2020-07-12,Richmond,50-59,308,54,1,Virginia
2020-07-12,Western Tidewater,50-59,173,13,4,Virginia
2020-07-12,Crater,Missing,9,0,0,Virginia
2020-07-12,Lord Fairfax,60-69,238,49,14,Virginia
2020-07-12,Western Tidewater,0-9,16,0,0,Virginia
2020-07-12,Rappahannock,70-79,111,31,14,Virginia
2020-07-12,Prince William,80+,240,81,72,Virginia
2020-07-12,Hampton,80+,14,2,1,Virginia
2020-07-12,Alexandria,80+,94,28,25,Virginia
2020-07-12,Mount Rogers,60-69,100,10,0,Virginia
2020-07-12,Eastern Shore,60-69,178,29,8,Virginia
2020-07-12,Lord Fairfax,70-79,138,41,17,Virginia
2020-07-12,New River,30-39,35,1,0,Virginia
2020-07-12,Chesapeake,10-19,70,1,0,Virginia
2020-07-12,Hampton,40-49,87,5,0,Virginia
2020-07-12,Peninsula,Missing,12,0,0,Virginia
2020-07-12,Henrico,70-79,218,48,42,Virginia
2020-07-12,Western Tidewater,20-29,136,4,0,Virginia
2020-07-12,Peninsula,0-9,55,0,0,Virginia
2020-07-12,Loudoun,40-49,849,48,1,Virginia
2020-07-12,Pittsylvania-Danville,30-39,42,1,0,Virginia
2020-07-12,Loudoun,20-29,719,6,0,Virginia
2020-07-12,Crater,60-69,248,47,15,Virginia
2020-07-12,Loudoun,80+,192,50,71,Virginia
2020-07-12,Arlington,80+,203,83,69,Virginia
2020-07-12,Virginia Beach,10-19,108,0,0,Virginia
2020-07-12,Mount Rogers,80+,80,27,21,Virginia
2020-07-12,Eastern Shore,80+,50,22,18,Virginia
2020-07-12,Crater,10-19,65,0,0,Virginia
2020-07-12,Lenowisco,30-39,9,1,1,Virginia
2020-07-12,Norfolk,Missing,21,1,0,Virginia
2020-07-12,Henrico,Missing,33,1,1,Virginia
2020-07-12,New River,40-49,45,1,0,Virginia
2020-07-12,Central Virginia,0-9,7,0,0,Virginia
2020-07-12,New River,70-79,19,8,4,Virginia
2020-07-12,Loudoun,0-9,160,3,0,Virginia
2020-07-12,Central Virginia,70-79,26,4,2,Virginia
2020-07-12,Southside,0-9,7,0,0,Virginia
2020-07-12,Three Rivers,40-49,166,12,2,Virginia
2020-07-12,Chickahominy,30-39,98,2,0,Virginia
2020-07-12,Central Shenandoah,60-69,281,47,11,Virginia
2020-07-12,Western Tidewater,60-69,156,18,6,Virginia
2020-07-12,Cumberland Plateau,30-39,15,0,0,Virginia
2020-07-12,Portsmouth,10-19,34,0,0,Virginia
2020-07-12,Chesterfield,Missing,89,0,0,Virginia
2020-07-12,Alexandria,40-49,450,38,0,Virginia
2020-07-12,Thomas Jefferson,70-79,78,21,5,Virginia
2020-07-12,Three Rivers,30-39,174,3,0,Virginia
2020-07-12,Western Tidewater,70-79,99,22,19,Virginia
2020-07-12,Arlington,60-69,288,80,19,Virginia
2020-07-12,Cumberland Plateau,10-19,25,0,0,Virginia
2020-07-12,West Piedmont,30-39,98,3,0,Virginia
2020-07-12,Peninsula,10-19,79,1,0,Virginia
2020-07-12,Lenowisco,10-19,8,0,0,Virginia
2020-07-11,Chesapeake,0-9,39,1,0,Virginia
2020-07-11,Peninsula,50-59,176,21,3,Virginia
2020-07-11,Cumberland Plateau,Missing,0,0,0,Virginia
2020-07-11,Peninsula,60-69,147,29,3,Virginia
2020-07-11,Lord Fairfax,30-39,363,11,1,Virginia
2020-07-11,Virginia Beach,Missing,57,0,0,Virginia
2020-07-11,Arlington,40-49,438,49,7,Virginia
2020-07-11,West Piedmont,10-19,76,0,0,Virginia
2020-07-11,Chickahominy,70-79,60,22,7,Virginia
2020-07-11,Pittsylvania-Danville,20-29,38,0,0,Virginia
2020-07-11,Loudoun,50-59,678,59,2,Virginia
2020-07-11,Richmond,30-39,524,25,1,Virginia
2020-07-11,Thomas Jefferson,Missing,2,0,0,Virginia
